account_id,member_id,account_type,open_date,status,balance,interest_rate,funded_flag
A000001,M003393,credit_card,2023-10-25,active,3344.63,4.346,0
A000002,M002304,savings,2024-04-23,closed,1358.41,1.225,1
A000003,M007986,checking,2023-11-03,active,13066.79,2.04,1
A000004,M002065,cd,2024-05-02,closed,3988.32,1.201,1
A000005,M008500,loan,2023-02-07,active,12231.78,2.045,1
A000006,M008850,loan,2023-05-04,active,13867.34,2.75,1
A000007,M005308,savings,2023-03-29,closed,3225.35,1.368,1
A000008,M009071,savings,2024-08-01,active,11022.43,3.758,1
A000009,M005535,credit_card,2023-01-12,active,1283.59,3.352,1
A000010,M007000,savings,2023-01-08,active,3210.03,2.338,1
A000011,M000380,cd,2023-04-07,closed,1092.56,0.732,1
A000012,M009306,credit_card,2023-05-15,active,3859.98,1.845,1
A000013,M009584,savings,2023-04-11,active,11971.55,2.989,1
A000014,M009036,savings,2024-04-22,active,848.36,2.507,1
A000015,M000707,cd,2023-09-21,active,18439.48,3.544,1
A000016,M000133,savings,2024-03-04,active,1737.89,2.758,0
A000017,M006949,checking,2024-09-07,active,2002.03,0.748,1
A000018,M009078,savings,2023-09-20,active,6148.11,3.171,1
A000019,M007885,checking,2024-04-20,active,9232.73,2.385,0
A000020,M005885,savings,2023-07-11,active,1309.92,0.276,1
A000021,M008225,credit_card,2023-02-21,active,42405.69,2.788,1
A000022,M004811,loan,2024-02-03,active,5395.42,1.787,1
A000023,M008509,credit_card,2023-03-11,active,1825.75,3.542,1
A000024,M004977,cd,2023-05-25,active,13668.98,2.325,1
A000025,M002122,savings,2024-03-01,active,11091.92,2.414,1
A000026,M004021,loan,2023-12-26,active,2144.0,1.595,1
A000027,M008133,checking,2023-02-24,active,4740.76,2.085,1
A000028,M005497,checking,2024-04-21,active,5853.76,1.488,0
A000029,M008328,credit_card,2024-06-20,active,15225.06,3.897,1
A000030,M004926,checking,2024-04-09,active,1683.28,1.405,1
A000031,M008277,cd,2024-08-09,active,2974.38,2.034,1
A000032,M000182,savings,2023-03-27,active,1328.16,3.175,1
A000033,M001953,checking,2024-09-02,closed,7270.69,2.509,1
A000034,M002540,savings,2023-10-09,active,2752.39,1.914,1
A000035,M004593,credit_card,2023-05-07,active,10952.43,1.339,1
A000036,M004215,credit_card,2023-11-30,active,7305.21,1.094,1
A000037,M008886,savings,2023-04-26,closed,4625.19,1.654,1
A000038,M005654,checking,2023-03-22,active,2342.08,2.563,1
A000039,M000233,credit_card,2023-07-05,active,8584.99,1.152,0
A000040,M008011,checking,2024-05-08,active,7632.75,2.261,1
A000041,M003868,checking,2024-04-25,closed,2023.43,3.517,1
A000042,M002747,savings,2023-09-05,active,2859.88,0.422,1
A000043,M008823,savings,2024-09-28,active,1262.86,1.294,1
A000044,M007075,checking,2024-03-28,active,9888.93,2.611,1
A000045,M003179,credit_card,2024-07-23,active,9056.92,1.421,1
A000046,M000053,checking,2023-11-23,active,2375.05,1.449,1
A000047,M001171,savings,2024-04-17,active,232.89,1.552,1
A000048,M000792,checking,2023-04-30,active,15397.27,2.63,1
A000049,M002436,cd,2024-03-12,active,1628.37,3.018,1
A000050,M003964,checking,2023-03-03,active,1653.33,0.881,1
A000051,M009799,savings,2023-09-12,active,20872.23,2.644,1
A000052,M006937,credit_card,2023-04-28,active,2865.04,2.562,1
A000053,M005428,savings,2023-03-30,closed,2866.89,0.1,1
A000054,M001287,cd,2023-04-23,active,4810.6,1.74,1
A000055,M001406,checking,2023-02-05,closed,11340.82,0.492,1
A000056,M005413,cd,2023-01-03,active,4883.78,2.889,1
A000057,M006671,savings,2024-08-26,active,3376.1,1.425,1
A000058,M001110,credit_card,2024-08-31,closed,5386.21,1.957,1
A000059,M005620,checking,2023-07-14,active,15920.96,2.845,1
A000060,M007209,loan,2024-08-31,active,213.88,1.622,0
A000061,M002943,savings,2023-07-16,active,1704.93,1.197,1
A000062,M002262,checking,2023-04-11,active,13034.91,3.314,1
A000063,M007964,savings,2023-07-03,active,25472.87,2.913,1
A000064,M003883,credit_card,2023-08-21,active,13.42,3.251,1
A000065,M002610,checking,2023-06-04,closed,15056.17,1.573,1
A000066,M008849,savings,2024-06-21,active,387.98,3.053,1
A000067,M008465,checking,2024-01-06,active,4450.82,2.434,1
A000068,M001133,loan,2024-09-04,active,2075.71,3.43,1
A000069,M008768,checking,2023-08-28,active,1163.43,2.337,1
A000070,M003454,loan,2023-01-19,active,2771.85,2.059,1
A000071,M006557,savings,2023-06-22,active,12939.04,1.453,1
A000072,M007612,savings,2023-09-05,active,4826.17,2.296,1
A000073,M006644,credit_card,2023-04-18,active,32396.18,3.339,1
A000074,M001954,savings,2024-06-18,active,2505.3,1.079,1
A000075,M005897,checking,2023-12-29,active,5471.41,2.462,1
A000076,M002753,checking,2023-01-27,closed,12252.56,3.231,1
A000077,M007988,checking,2024-09-03,active,687.65,3.209,1
A000078,M007754,checking,2024-08-18,active,14914.26,3.807,1
A000079,M008557,savings,2023-05-08,active,58.87,1.91,1
A000080,M002304,savings,2024-06-06,active,3451.31,3.986,1
A000081,M003866,checking,2023-04-13,active,9325.73,3.132,1
A000082,M004821,savings,2024-06-20,active,1122.56,3.932,1
A000083,M005401,loan,2023-04-25,active,24613.02,2.713,1
A000084,M004261,savings,2023-09-11,active,5366.45,2.622,1
A000085,M004700,checking,2024-08-18,closed,16855.81,1.685,1
A000086,M009491,loan,2024-04-14,active,7859.99,1.625,1
A000087,M002007,savings,2024-05-28,active,6470.21,2.809,1
A000088,M000792,savings,2024-01-23,active,1708.98,1.302,1
A000089,M007593,savings,2023-06-27,active,4350.56,1.135,1
A000090,M006617,checking,2024-05-05,active,2044.36,2.005,1
A000091,M005858,savings,2023-09-24,active,745.45,1.764,1
A000092,M003273,cd,2024-02-10,active,1760.44,1.661,1
A000093,M000458,credit_card,2024-05-24,active,539.4,0.54,1
A000094,M007612,credit_card,2023-04-11,active,12760.33,2.92,0
A000095,M000688,savings,2023-05-20,closed,1123.23,1.64,1
A000096,M004294,checking,2023-03-02,active,2446.69,2.461,1
A000097,M008605,credit_card,2024-05-02,active,14489.03,1.596,1
A000098,M008662,credit_card,2023-09-01,active,3498.73,1.898,1
A000099,M004715,checking,2024-06-01,active,965.58,3.657,1
A000100,M004505,checking,2024-05-17,active,4532.9,2.182,1
A000101,M001111,loan,2024-01-10,active,15841.7,0.197,0
A000102,M006425,checking,2023-10-04,active,1419.98,2.573,1
A000103,M000733,credit_card,2024-03-24,active,1777.8,0.607,1
A000104,M007250,loan,2023-04-11,active,847.55,2.453,1
A000105,M003891,savings,2023-12-19,active,2401.1,2.217,1
A000106,M009056,checking,2023-03-10,active,18457.52,1.114,1
A000107,M006748,credit_card,2024-02-02,active,3307.23,2.884,1
A000108,M006805,checking,2023-10-05,active,1806.91,1.635,1
A000109,M006150,savings,2024-09-26,active,35315.68,3.449,1
A000110,M002065,loan,2023-01-19,active,8747.36,3.975,1
A000111,M004452,savings,2023-11-19,active,3498.07,2.577,1
A000112,M006445,checking,2024-02-06,active,6581.53,1.647,1
A000113,M005144,credit_card,2024-03-05,active,17676.96,0.1,1
A000114,M003884,credit_card,2023-05-08,active,13511.21,1.431,1
A000115,M000592,savings,2024-08-12,active,647.83,2.398,1
A000116,M006020,checking,2023-12-29,active,663.41,1.647,1
A000117,M005346,checking,2024-09-21,active,739.94,3.626,1
A000118,M002095,checking,2023-03-28,active,18110.42,1.661,1
A000119,M003963,checking,2023-10-01,active,2407.6,4.073,1
A000120,M000754,credit_card,2024-02-18,active,2824.6,1.459,1
A000121,M005044,checking,2023-11-02,active,2834.53,1.445,1
A000122,M003863,savings,2024-06-19,active,2961.17,0.823,1
A000123,M003435,savings,2023-10-02,active,3390.7,2.879,1
A000124,M004426,checking,2023-01-21,active,1134.17,2.339,1
A000125,M003853,checking,2024-05-24,active,1161.42,1.969,0
A000126,M007391,credit_card,2024-03-03,closed,13951.63,3.526,1
A000127,M007537,checking,2024-01-17,active,19810.14,0.83,1
A000128,M004255,checking,2024-08-26,active,11659.58,0.794,1
A000129,M001352,savings,2023-12-31,active,12014.39,3.098,1
A000130,M003449,savings,2024-06-22,closed,1780.42,0.11,1
A000131,M003694,checking,2024-04-26,active,8097.08,2.447,1
A000132,M007042,savings,2023-07-13,active,13417.68,3.368,1
A000133,M009866,credit_card,2023-05-03,active,1662.69,2.99,1
A000134,M003372,loan,2023-08-25,active,1852.69,1.814,1
A000135,M008309,checking,2023-03-16,closed,3154.92,3.365,1
A000136,M004140,savings,2023-06-16,active,4316.35,4.421,1
A000137,M008300,credit_card,2023-08-31,active,4082.18,2.204,1
A000138,M003490,checking,2023-06-30,active,23990.06,2.525,1
A000139,M000666,checking,2023-02-16,closed,3185.12,1.672,1
A000140,M007197,credit_card,2023-01-24,active,8866.17,1.692,1
A000141,M002276,savings,2024-08-19,active,1506.17,2.294,1
A000142,M009059,savings,2024-08-07,active,240.14,1.255,1
A000143,M004640,savings,2024-03-12,active,2379.0,3.967,1
A000144,M009120,savings,2024-08-11,active,10020.0,1.578,0
A000145,M008417,checking,2023-03-07,active,3400.91,2.586,1
A000146,M003316,credit_card,2024-06-23,active,2310.05,3.068,1
A000147,M009372,savings,2023-07-09,active,2076.29,2.265,1
A000148,M002961,checking,2023-01-15,active,7557.95,2.178,1
A000149,M002365,credit_card,2023-03-02,active,493.01,2.974,1
A000150,M007475,credit_card,2023-10-03,active,78.92,1.969,1
A000151,M009095,savings,2024-02-28,active,3153.26,3.141,1
A000152,M000522,credit_card,2023-09-01,active,8482.85,1.869,1
A000153,M009637,checking,2024-07-23,active,9890.99,2.816,1
A000154,M008894,credit_card,2023-03-31,active,3034.55,3.829,1
A000155,M007239,cd,2023-11-26,active,384.39,1.964,1
A000156,M001617,savings,2023-03-10,active,29.76,2.287,1
A000157,M000253,loan,2023-07-30,closed,4521.76,2.727,1
A000158,M004351,checking,2024-05-04,active,12454.25,1.814,1
