member_id,campaign_id,touch_date,opened_email_flag,clicked_flag,conversion_flag
M006982,C202401,2024-07-07,0,0,0
M007541,C202405,2025-07-10,0,0,0
M002491,C202404,2024-02-09,1,0,0
M002452,C202406,2025-07-18,1,0,0
M000659,C202415,2024-06-25,1,0,0
M003788,C202402,2025-05-08,0,0,0
M003934,C202403,2025-07-06,0,1,0
M005437,C202406,2024-11-15,1,0,0
M002460,C202402,2025-06-10,1,0,0
M007121,C202413,2024-08-25,0,1,0
M000545,C202408,2024-04-26,0,1,0
M008983,C202403,2024-10-16,1,0,0
M008803,C202403,2025-08-04,1,0,0
M001823,C202402,2025-05-03,0,1,0
M007523,C202412,2024-11-23,1,0,0
M000643,C202401,2024-03-16,1,1,1
M003735,C202402,2025-06-10,1,0,0
M003017,C202403,2025-04-14,1,1,0
M000887,C202411,2025-05-18,0,1,0
M007857,C202405,2025-02-19,1,1,0
M001193,C202413,2024-09-20,1,0,0
M007373,C202408,2025-09-03,0,0,0
M002946,C202409,2024-12-11,1,0,0
M000413,C202401,2024-09-19,1,0,0
M000706,C202410,2024-10-19,1,0,0
M005369,C202408,2024-07-13,0,0,0
M000081,C202404,2024-02-13,1,0,0
M002141,C202406,2025-09-10,1,1,1
M009334,C202401,2025-09-17,0,0,0
M008209,C202408,2024-02-13,1,1,0
M002622,C202411,2024-04-09,1,1,1
M001990,C202412,2025-04-02,1,0,0
M009377,C202402,2024-07-04,0,0,0
M009233,C202404,2024-12-16,0,1,0
M005527,C202413,2025-09-21,0,0,0
M003512,C202409,2024-10-17,0,1,0
M009529,C202407,2024-12-01,1,0,0
M004497,C202415,2024-08-04,0,0,0
M002107,C202411,2025-07-12,1,0,0
M003200,C202404,2025-05-25,0,0,0
M008254,C202411,2025-06-22,0,1,0
M004737,C202409,2024-08-31,0,0,0
M003475,C202407,2025-01-05,0,1,0
M001288,C202401,2025-08-25,0,0,0
M003483,C202415,2025-01-10,0,0,0
M005066,C202406,2025-09-18,0,0,0
M001264,C202412,2025-07-03,1,0,0
M008945,C202410,2025-08-01,1,0,0
M008061,C202407,2025-04-22,1,1,1
M008452,C202406,2024-02-15,1,0,0
M003635,C202404,2024-08-09,0,0,0
M009263,C202413,2024-12-24,1,0,0
M001414,C202408,2025-06-26,0,0,0
M002614,C202409,2025-04-17,0,0,0
M003232,C202410,2024-02-16,0,0,0
M004215,C202405,2024-05-14,0,1,0
M000672,C202402,2024-12-18,0,0,0
M007378,C202414,2025-03-23,0,0,0
M007889,C202406,2024-12-08,0,0,0
M003907,C202415,2025-02-07,0,1,0
M008934,C202404,2024-09-30,1,0,0
M006966,C202404,2025-04-10,1,0,0
M006531,C202411,2025-08-07,1,0,0
M006245,C202412,2025-05-25,1,0,0
M002630,C202404,2025-06-23,1,0,0
M003887,C202404,2025-01-04,1,1,0
M005715,C202410,2024-11-23,1,0,0
M007709,C202408,2024-06-10,0,0,0
M004540,C202408,2024-10-01,1,0,0
M006020,C202414,2024-06-28,1,1,0
M006473,C202413,2024-06-03,1,0,0
M006981,C202413,2025-04-10,0,1,0
M005965,C202412,2024-04-02,1,1,1
M008463,C202405,2025-02-11,0,0,0
M000356,C202401,2025-09-24,1,0,0
M005680,C202408,2025-02-21,1,0,0
M000861,C202414,2025-05-29,1,0,0
M004410,C202413,2024-11-01,1,0,0
M001900,C202403,2024-08-17,0,0,0
M006618,C202401,2025-03-06,0,0,0
M002695,C202401,2024-08-05,1,0,0
M009112,C202414,2024-07-31,0,0,0
M007328,C202405,2024-07-14,1,0,0
M003991,C202402,2024-03-09,1,0,0
M009414,C202403,2025-08-26,1,0,0
M004818,C202414,2024-08-17,1,1,0
M007048,C202414,2024-06-09,0,0,0
M005834,C202405,2025-02-25,0,0,0
M001478,C202402,2024-12-23,0,1,0
M009600,C202404,2025-05-08,1,1,0
M008981,C202407,2024-05-30,1,0,0
M008216,C202402,2024-12-16,0,1,0
M008627,C202404,2024-06-23,1,1,0
M006752,C202409,2025-02-24,1,1,0
M005318,C202411,2025-05-26,1,1,0
M004368,C202407,2024-12-15,1,0,0
M009148,C202402,2025-03-18,1,0,0
M009757,C202404,2025-05-30,1,0,0
M006893,C202413,2025-08-01,0,0,0
M002551,C202405,2024-07-15,1,0,0
M001023,C202410,2025-01-23,0,0,0
M004003,C202406,2025-07-28,1,0,0
M003982,C202407,2025-03-09,1,0,0
M000552,C202412,2024-04-29,1,0,0
M009727,C202410,2024-09-11,0,0,0
M004782,C202411,2025-03-08,1,0,0
M002722,C202412,2024-12-05,0,0,0
M003634,C202407,2024-09-05,1,1,0
M006036,C202409,2025-01-26,1,0,0
M002579,C202403,2024-05-29,0,0,0
M001636,C202413,2024-05-29,1,1,0
M005687,C202403,2025-08-14,0,1,0
M006657,C202405,2024-08-12,1,0,0
M002467,C202409,2025-07-10,1,0,0
M009537,C202405,2025-09-10,0,0,0
M005830,C202412,2025-06-05,0,0,0
M003989,C202406,2025-03-19,1,1,0
M003815,C202407,2025-04-16,1,0,0
M003953,C202404,2025-08-17,0,1,0
M007252,C202409,2024-07-09,1,1,1
M009292,C202412,2025-01-19,0,1,0
M007085,C202406,2024-03-25,0,1,0
M000098,C202409,2024-08-09,0,0,0
M000882,C202415,2024-05-11,1,1,1
M002147,C202406,2024-02-19,0,1,0
M008991,C202408,2024-09-02,0,0,0
M000042,C202413,2025-09-11,1,0,0
M005443,C202413,2024-03-25,0,0,0
M005016,C202404,2025-08-24,1,0,0
M006189,C202401,2024-02-11,0,0,0
M000041,C202401,2025-02-20,0,1,0
M001282,C202405,2025-04-23,1,1,0
M007119,C202407,2024-03-26,0,0,0
M003818,C202409,2024-12-24,1,0,0
M004091,C202409,2025-05-03,0,0,0
M005963,C202406,2025-07-21,1,0,0
M006439,C202402,2025-09-24,1,0,0
M005931,C202407,2025-03-03,1,0,0
M001564,C202407,2024-10-29,0,0,0
M001904,C202410,2025-01-27,0,1,0
M005794,C202411,2025-06-13,0,0,0
M004902,C202409,2024-06-19,1,1,0
M007048,C202409,2024-02-10,0,1,0
M005828,C202415,2024-11-22,0,0,0
M005134,C202407,2024-02-13,1,0,0
M000091,C202412,2025-04-12,1,0,0
M004819,C202413,2024-04-20,1,0,0
M001693,C202402,2025-05-18,1,0,0
M005475,C202406,2024-11-13,1,0,0
M008121,C202406,2025-03-10,1,1,0
M007723,C202405,2024-08-23,1,1,0
M007036,C202402,2025-09-10,1,0,0
M002212,C202413,2024-05-04,1,0,0
M000766,C202415,2024-04-03,0,0,0
M005450,C202408,2025-05-01,1,1,0
M003371,C202413,2025-04-17,1,1,0
M009754,C202405,2024-06-03,0,0,0
M008221,C202408,2025-04-16,1,0,0
M001837,C202410,2024-12-02,0,0,0
M006948,C202407,2024-08-19,1,1,0
M002958,C202409,2024-10-23,1,1,0
M004701,C202407,2025-02-15,0,0,0
M008583,C202410,2025-06-23,1,0,0
M004787,C202406,2025-01-11,0,0,0
M005708,C202401,2025-04-13,0,0,0
M005468,C202409,2024-03-08,0,0,0
M002815,C202404,2024-11-29,0,0,0
M004305,C202411,2025-09-15,0,1,0
M009555,C202414,2025-05-08,1,0,0
M001206,C202411,2024-12-19,0,0,0
M008995,C202406,2024-04-07,0,0,0
M004769,C202404,2024-02-16,1,1,1
M003870,C202405,2025-05-06,1,1,0
M001171,C202407,2025-07-01,1,0,0
M006888,C202415,2024-10-29,0,0,0
M009662,C202402,2025-07-04,0,0,0
M008100,C202403,2025-09-28,0,0,0
M002903,C202413,2025-04-07,1,0,0
M004337,C202405,2024-07-14,1,1,0
M006805,C202406,2025-02-04,0,1,0
M007333,C202413,2024-09-06,1,0,0
M000570,C202413,2024-12-14,0,0,0
M007497,C202415,2024-08-29,1,1,0
M008727,C202414,2025-05-05,1,0,0
M003359,C202406,2024-03-01,1,0,0
M007407,C202403,2024-04-16,1,0,0
M000473,C202413,2024-03-19,1,1,1
M002823,C202408,2025-07-19,1,0,0
M002441,C202405,2024-12-02,0,0,0
M008371,C202406,2024-04-04,1,0,0
M002749,C202401,2024-03-12,1,1,0
M008465,C202401,2025-07-31,1,0,0
M004446,C202410,2024-07-15,1,1,0
M007518,C202413,2024-05-29,0,0,0
M006672,C202405,2025-08-20,1,0,0
M007036,C202407,2025-03-01,1,0,0
M006522,C202412,2025-05-27,1,0,0
M006137,C202407,2025-02-20,1,0,0
M006805,C202403,2024-05-06,1,0,0
M003402,C202412,2025-07-06,0,0,0
M002469,C202406,2025-04-01,1,0,0
M003496,C202404,2025-08-17,1,0,0
M004791,C202412,2025-04-05,0,1,0
M007683,C202411,2025-05-20,0,0,0
M007580,C202409,2024-04-06,0,0,0
M007361,C202415,2024-12-07,1,1,1
M002892,C202410,2024-10-06,1,0,0
M005089,C202412,2024-02-16,1,0,0
M002539,C202413,2024-03-22,1,0,0
M004519,C202414,2024-11-03,1,1,0
M001415,C202412,2025-04-19,0,1,0
M006529,C202404,2025-01-31,0,1,0
M005976,C202408,2025-09-13,1,0,0
M003909,C202408,2024-12-23,1,0,0
M007039,C202414,2024-10-15,1,0,0
M006068,C202403,2024-04-20,1,1,1
M000548,C202407,2024-06-24,0,0,0
M003826,C202403,2025-04-30,1,1,0
M003686,C202407,2024-11-07,1,0,0
M008644,C202415,2025-08-27,1,0,0
M006614,C202408,2025-07-27,1,0,0
M000500,C202403,2024-05-04,0,0,0
M002569,C202410,2024-12-11,1,1,0
M003857,C202402,2025-03-21,1,0,0
M002902,C202404,2024-12-10,1,1,1
M002014,C202404,2025-07-24,1,0,0
M000595,C202404,2024-05-25,0,0,0
M003045,C202402,2024-11-14,1,0,0
M005703,C202410,2025-07-14,0,1,0
M000995,C202412,2024-08-23,0,0,0
M007761,C202410,2024-08-26,0,1,0
M009916,C202413,2024-05-07,1,0,0
M004048,C202406,2025-03-06,0,1,0
M009930,C202415,2025-05-16,0,1,0
M000163,C202402,2024-03-08,1,0,0
M001219,C202409,2025-08-28,0,0,0
M000431,C202403,2024-09-21,1,0,0
M009966,C202410,2025-05-10,1,0,0
M006146,C202404,2025-09-28,1,1,0
M005390,C202412,2024-10-17,1,1,0
M009632,C202409,2024-07-12,1,0,0
M004165,C202409,2024-02-28,1,1,0
M008032,C202407,2024-02-13,0,1,0
M007297,C202402,2024-05-15,1,1,1
M006281,C202413,2025-04-15,0,0,0
M003187,C202401,2024-02-29,0,1,0
M001372,C202409,2025-07-08,0,0,0
M000467,C202405,2025-08-24,1,0,0
M002907,C202410,2024-11-18,1,0,0
M006893,C202411,2025-06-24,1,0,0
M004916,C202401,2025-07-28,1,0,0
M009745,C202412,2025-07-16,0,1,0
M001471,C202409,2025-04-21,0,0,0
M005913,C202409,2025-07-05,0,1,0
M005495,C202401,2024-08-06,1,0,0
M005450,C202404,2024-04-10,0,0,0
M005532,C202412,2024-10-23,1,0,0
M009665,C202407,2024-04-26,1,0,0
M005493,C202402,2024-08-24,0,1,0
M000024,C202404,2025-03-11,1,0,0
M008828,C202405,2024-09-18,0,0,0
M006518,C202410,2025-06-04,1,1,0
M004992,C202407,2025-06-28,1,0,0
M003224,C202401,2024-04-18,0,0,0
M005379,C202403,2024-02-03,1,0,0
M005888,C202407,2024-06-10,1,0,0
M001686,C202411,2024-10-19,0,0,0
M007189,C202407,2025-07-15,0,1,0
M005172,C202411,2025-03-05,0,1,0
M007891,C202402,2025-03-10,1,1,1
M007041,C202409,2024-07-27,0,1,0
M001149,C202403,2025-06-24,0,0,0
M007083,C202403,2025-07-22,0,1,0
M007843,C202414,2024-03-26,1,1,0
M000126,C202415,2024-07-26,0,0,0
M002467,C202410,2024-08-16,0,0,0
M007549,C202402,2025-05-01,1,0,0
M007346,C202401,2024-02-22,0,1,0
M007058,C202405,2025-01-02,1,1,0
M000527,C202410,2024-08-13,0,0,0
M009796,C202402,2024-02-16,0,0,0
M009319,C202415,2024-02-13,1,0,0
M007916,C202414,2024-12-24,1,0,0
M002687,C202412,2025-06-16,0,0,0
M007290,C202409,2024-10-07,1,0,0
M008065,C202401,2024-05-03,1,0,0
M003533,C202408,2025-04-23,0,1,0
M002664,C202413,2024-07-26,0,1,0
M004130,C202403,2025-04-21,1,0,0
M006833,C202404,2025-04-25,1,1,1
M001153,C202401,2024-08-28,0,1,0
M005484,C202405,2025-04-26,1,1,0
M002357,C202403,2025-08-30,1,1,0
M005815,C202406,2025-07-28,1,0,0
M004723,C202411,2024-06-06,0,1,0
M003919,C202413,2024-09-28,1,0,0
M007152,C202408,2025-01-28,1,0,0
M007328,C202405,2024-05-16,1,1,0
M003980,C202413,2024-05-20,1,0,0
M001883,C202405,2025-07-07,1,0,0
M004884,C202415,2024-12-17,1,0,0
M004515,C202410,2024-08-26,1,1,0
M004784,C202406,2025-06-26,1,0,0
M008444,C202414,2025-08-12,1,0,0
M004092,C202408,2024-09-28,0,1,0
M006521,C202415,2025-04-24,0,0,0
M005395,C202402,2024-07-28,1,1,0
M001194,C202415,2024-09-15,1,1,0
M000342,C202410,2024-08-11,0,0,0
M005628,C202414,2024-09-11,1,0,0
M002846,C202406,2024-03-25,1,1,0
M003047,C202402,2025-04-01,0,0,0
M006841,C202415,2024-10-11,1,1,0
M009278,C202409,2024-11-05,0,0,0
M008135,C202415,2024-05-25,1,1,0
M000784,C202415,2025-01-17,0,0,0
M001011,C202412,2024-06-20,1,0,0
M004751,C202404,2024-07-24,1,0,0
M000120,C202405,2024-12-24,0,1,0
M006208,C202402,2024-02-08,0,0,0
M004403,C202411,2024-10-09,1,1,1
M003102,C202415,2024-03-31,1,0,0
M005783,C202408,2024-05-12,1,0,0
M001214,C202403,2025-08-22,1,1,1
M006159,C202412,2025-09-05,1,0,0
M002082,C202415,2025-01-04,1,0,0
M003116,C202405,2025-06-18,0,1,0
M001668,C202409,2025-08-27,1,0,0
M007586,C202409,2024-11-30,1,0,0
M001472,C202413,2024-10-15,1,0,0
M004815,C202410,2025-04-04,0,0,0
M005503,C202413,2024-12-05,0,1,0
M000683,C202413,2024-10-09,1,1,0
M007712,C202414,2024-11-09,1,0,0
M009072,C202413,2025-06-17,0,0,0
M008497,C202412,2024-05-17,1,0,0
M005703,C202406,2024-05-24,0,1,0
M005424,C202403,2024-10-06,0,0,0
M007909,C202402,2025-06-10,0,1,0
M003747,C202415,2025-08-10,1,0,0
M002538,C202404,2025-01-02,0,1,0
M009706,C202407,2025-01-23,1,0,0
M005531,C202411,2024-11-02,1,0,0
M005811,C202403,2024-08-02,1,0,0
M005499,C202402,2024-12-17,0,1,0
M005983,C202406,2024-09-12,1,0,0
M007649,C202413,2024-12-16,1,0,0
M008155,C202406,2025-09-20,0,0,0
M004936,C202409,2025-05-21,1,1,0
M009222,C202407,2024-02-19,1,0,0
M004947,C202412,2024-08-06,1,0,0
M007227,C202408,2024-02-09,1,0,0
M003379,C202414,2024-11-17,1,0,0
M003435,C202407,2025-07-04,1,0,0
M006689,C202414,2025-05-26,1,1,0
M000990,C202409,2025-04-07,1,1,1
M008406,C202407,2024-07-10,1,1,0
M003429,C202412,2024-07-21,1,0,0
M008259,C202401,2025-09-28,1,0,0
M000883,C202403,2025-02-18,1,0,0
M001856,C202414,2025-09-04,1,1,0
M009575,C202409,2024-07-10,1,0,0
M005197,C202415,2024-03-18,1,0,0
M007720,C202405,2025-09-17,1,0,0
M006601,C202411,2024-06-07,1,0,0
M004058,C202412,2024-10-16,1,0,0
M003763,C202407,2025-03-14,1,0,0
M005431,C202403,2024-09-26,1,0,0
M008720,C202407,2024-07-31,1,0,0
M007398,C202401,2024-04-24,0,0,0
M006113,C202413,2025-01-12,1,0,0
M008059,C202411,2024-12-14,0,0,0
M000192,C202415,2024-06-18,0,1,0
M008257,C202414,2025-03-05,0,1,0
M004218,C202411,2025-01-27,1,0,0
M002201,C202401,2025-06-30,1,0,0
M002806,C202410,2025-04-28,1,0,0
M009408,C202407,2024-05-19,0,0,0
M001696,C202405,2024-06-23,0,0,0
M006628,C202407,2024-02-13,0,0,0
M004015,C202410,2024-05-20,1,0,0
M006423,C202405,2024-03-26,1,0,0
M004908,C202410,2025-03-01,0,0,0
M004268,C202410,2024-12-24,1,1,0
M009937,C202404,2025-01-30,0,0,0
M009584,C202410,2024-11-12,1,0,0
M007669,C202403,2024-03-15,0,0,0
M000526,C202415,2024-02-04,1,0,0
M000406,C202413,2025-01-06,1,0,0
M007245,C202415,2024-03-16,1,0,0
M005376,C202402,2025-01-16,1,0,0
M009923,C202402,2024-02-24,0,0,0
M008865,C202404,2024-06-07,1,1,1
M003008,C202415,2025-09-07,0,0,0
M007665,C202415,2025-01-03,0,0,0
M007282,C202403,2024-11-22,1,1,0
M008931,C202412,2024-02-02,1,0,0
M002568,C202409,2024-10-03,0,1,0
M004833,C202410,2025-06-15,1,1,0
M004532,C202402,2025-07-01,0,0,0
M006692,C202402,2024-05-29,1,0,0
M007285,C202411,2024-08-08,0,1,0
M005748,C202415,2024-12-16,1,0,0
M004774,C202404,2025-03-05,0,0,0
M000175,C202411,2024-12-24,1,0,0
M006344,C202414,2024-08-13,0,0,0
M009406,C202407,2024-10-01,1,0,0
M005397,C202406,2024-03-07,0,0,0
M009967,C202404,2025-09-02,1,0,0
M007768,C202402,2024-02-03,1,1,0
M007378,C202412,2025-02-13,1,1,0
M002592,C202406,2024-03-15,1,0,0
M005119,C202409,2024-05-20,0,0,0
M002994,C202409,2025-08-15,0,0,0
M009589,C202414,2024-10-22,0,0,0
M001378,C202406,2024-11-08,0,0,0
M008997,C202414,2024-08-20,1,0,0
M003511,C202412,2024-10-15,1,1,0
M006767,C202406,2024-04-15,1,0,0
M008222,C202404,2025-05-26,0,1,0
M007630,C202414,2024-04-04,1,1,0
M009607,C202409,2025-05-04,1,0,0
M003970,C202409,2025-04-03,1,0,0
M007834,C202412,2025-06-29,1,0,0
M008737,C202413,2024-11-20,1,1,0
M002422,C202406,2024-09-12,1,0,0
M009526,C202406,2024-02-27,1,0,0
M004515,C202406,2024-03-03,0,1,0
M002267,C202410,2025-05-12,0,0,0
M003633,C202409,2025-05-25,0,1,0
M004412,C202403,2025-06-08,0,1,0
M004557,C202405,2025-06-13,1,1,0
M006895,C202415,2025-08-06,1,1,0
M007685,C202403,2024-06-01,1,0,0
M004735,C202406,2025-08-17,0,1,0
M002009,C202407,2024-02-09,1,0,0
M008037,C202407,2024-04-19,1,0,0
M003194,C202412,2024-04-26,0,1,0
M007349,C202413,2024-05-20,0,0,0
M004333,C202410,2024-05-20,1,1,1
M003948,C202404,2024-12-14,1,0,0
M002900,C202401,2024-02-20,0,1,0
M000461,C202406,2024-03-22,0,0,0
M008722,C202407,2024-05-09,0,0,0
M006926,C202415,2025-04-09,0,0,0
M002895,C202413,2024-05-15,1,1,0
M000064,C202401,2024-07-11,0,1,0
M003590,C202410,2025-06-26,1,0,0
M002370,C202405,2024-07-29,1,0,0
M006346,C202414,2024-10-29,0,0,0
M001950,C202413,2024-10-07,0,1,0
M005675,C202410,2024-11-16,1,0,0
M000986,C202413,2024-06-08,0,1,0
M005936,C202404,2025-02-12,1,0,0
M008107,C202406,2024-11-07,1,0,0
M009408,C202409,2024-03-19,0,0,0
M002098,C202407,2024-06-28,1,1,0
M003935,C202401,2024-02-06,1,1,0
M005781,C202408,2024-12-29,1,0,0
M002880,C202410,2025-04-06,1,0,0
M009689,C202414,2024-07-11,1,1,0
M002611,C202410,2024-02-01,1,0,0
M001437,C202403,2025-07-25,0,0,0
M000243,C202401,2025-03-10,1,0,0
M000697,C202413,2025-02-09,1,1,0
M004790,C202415,2025-04-05,1,1,1
M002527,C202413,2025-01-08,1,0,0
M000193,C202415,2024-06-28,1,0,0
M002580,C202412,2024-12-03,0,1,0
M003513,C202413,2025-08-29,0,0,0
M007391,C202408,2025-03-12,0,1,0
M003550,C202404,2024-03-20,1,0,0
M009360,C202415,2024-09-19,0,1,0
M008130,C202407,2025-05-09,0,0,0
M006641,C202401,2025-04-18,0,1,0
M007106,C202415,2024-06-07,1,1,0
M000662,C202412,2024-11-01,1,0,0
M000539,C202413,2025-04-05,1,0,0
M006942,C202403,2024-09-26,0,0,0
M002494,C202413,2025-03-07,1,0,0
M000268,C202415,2024-07-11,1,1,0
M003215,C202406,2024-08-03,0,0,0
M001740,C202407,2024-10-04,1,1,0
M001587,C202410,2025-06-05,1,0,0
M006587,C202404,2025-07-07,1,0,0
M002813,C202407,2025-08-19,1,0,0
M006037,C202404,2024-10-07,0,0,0
M003972,C202413,2024-07-28,0,1,0
M003792,C202414,2024-12-24,0,0,0
M009950,C202408,2024-06-02,1,0,0
M004626,C202412,2025-07-30,0,0,0
M008212,C202401,2024-04-26,1,1,0
M000296,C202409,2024-03-05,0,0,0
M001066,C202413,2024-10-31,1,0,0
M007058,C202412,2024-05-14,1,0,0
M009132,C202413,2025-08-08,0,0,0
M000152,C202409,2025-09-03,1,0,0
M003446,C202407,2025-03-19,1,1,1
M005758,C202407,2024-02-12,1,1,1
M003017,C202415,2024-06-08,1,0,0
M003106,C202402,2024-06-29,0,1,0
M007201,C202406,2024-09-17,1,0,0
M005768,C202404,2024-07-08,1,0,0
M003882,C202411,2024-05-12,1,0,0
M000191,C202413,2025-02-10,1,0,0
M004355,C202415,2024-04-08,1,0,0
M005750,C202413,2024-10-06,1,0,0
M002656,C202414,2024-09-13,1,0,0
M003216,C202402,2025-09-09,1,0,0
M007750,C202415,2025-04-04,0,0,0
M004784,C202407,2025-03-01,0,1,0
M004167,C202410,2025-04-27,0,0,0
M006105,C202407,2025-05-23,0,1,0
M006278,C202403,2024-10-02,0,0,0
M004898,C202410,2024-08-27,1,0,0
M009802,C202407,2024-05-13,1,0,0
M007093,C202403,2024-10-09,1,0,0
M006424,C202412,2024-10-18,0,0,0
M007800,C202414,2025-05-06,1,1,0
M005047,C202413,2025-07-17,0,1,0
M003318,C202407,2024-05-14,1,0,0
M006354,C202410,2024-06-23,0,0,0
M000325,C202407,2024-10-30,0,0,0
M005511,C202404,2024-09-29,1,0,0
M001414,C202409,2025-03-29,0,0,0
M003757,C202406,2024-12-13,1,0,0
M007591,C202410,2024-08-20,0,0,0
M000844,C202410,2025-02-01,0,0,0
M005874,C202415,2025-02-23,0,0,0
M002338,C202402,2024-02-06,1,0,0
M000782,C202408,2025-09-14,1,0,0
M006150,C202408,2025-08-24,0,0,0
M007210,C202410,2024-12-22,1,0,0
M007898,C202407,2024-02-02,0,0,0
M002788,C202405,2025-05-30,1,0,0
M004056,C202411,2025-06-04,0,0,0
M007457,C202403,2024-04-22,1,0,0
M000242,C202412,2025-04-17,1,1,0
M001169,C202401,2024-07-30,0,1,0
M002988,C202410,2025-09-15,1,0,0
M006444,C202407,2024-03-29,1,1,0
M006220,C202404,2025-09-12,0,0,0
M004833,C202407,2024-02-26,0,0,0
M007253,C202410,2024-04-04,0,1,0
M004445,C202414,2024-06-10,0,1,0
M007090,C202415,2024-04-19,0,0,0
M007246,C202402,2024-10-09,1,0,0
M006835,C202404,2025-04-04,0,0,0
M001500,C202415,2024-03-21,0,0,0
M001587,C202408,2024-08-10,1,1,0
M005194,C202410,2024-10-13,0,1,0
M009372,C202410,2024-12-06,1,0,0
M007384,C202406,2025-03-25,0,0,0
M001957,C202414,2024-06-11,0,0,0
M004923,C202411,2025-07-01,1,0,0
M001007,C202412,2024-07-12,1,1,0
M008320,C202410,2024-04-04,1,0,0
M009339,C202413,2025-02-04,1,0,0
M000452,C202403,2024-09-20,0,0,0
M002644,C202402,2025-07-31,0,0,0
M008645,C202412,2024-09-03,1,1,0
M003191,C202407,2025-08-22,1,0,0
M006408,C202415,2024-10-19,0,1,0
M005848,C202407,2025-02-04,1,0,0
