channel_signup,mth,new_members
branch,2024-01-01,123
event,2024-01-01,14
online,2024-01-01,294
referral,2024-01-01,69
branch,2024-02-01,113
event,2024-02-01,12
online,2024-02-01,270
referral,2024-02-01,59
branch,2024-03-01,116
event,2024-03-01,23
online,2024-03-01,292
referral,2024-03-01,57
branch,2024-04-01,126
event,2024-04-01,19
online,2024-04-01,257
referral,2024-04-01,58
branch,2024-05-01,124
event,2024-05-01,12
online,2024-05-01,296
referral,2024-05-01,58
branch,2024-06-01,113
event,2024-06-01,13
online,2024-06-01,261
referral,2024-06-01,56
branch,2024-07-01,120
event,2024-07-01,15
online,2024-07-01,256
referral,2024-07-01,52
branch,2024-08-01,136
event,2024-08-01,22
online,2024-08-01,268
referral,2024-08-01,72
branch,2024-09-01,132
event,2024-09-01,20
online,2024-09-01,270
referral,2024-09-01,63
branch,2024-10-01,119
event,2024-10-01,18
online,2024-10-01,293
referral,2024-10-01,55
branch,2024-11-01,128
event,2024-11-01,16
online,2024-11-01,234
referral,2024-11-01,65
branch,2024-12-01,125
event,2024-12-01,19
online,2024-12-01,280
referral,2024-12-01,51
branch,2025-01-01,131
event,2025-01-01,20
online,2025-01-01,303
referral,2025-01-01,61
branch,2025-02-01,91
event,2025-02-01,16
online,2025-02-01,259
referral,2025-02-01,58
branch,2025-03-01,130
event,2025-03-01,13
online,2025-03-01,274
referral,2025-03-01,50
branch,2025-04-01,140
event,2025-04-01,12
online,2025-04-01,270
referral,2025-04-01,61
branch,2025-05-01,110
event,2025-05-01,24
online,2025-05-01,256
referral,2025-05-01,71
branch,2025-06-01,131
event,2025-06-01,15
online,2025-06-01,278
referral,2025-06-01,49
branch,2025-07-01,132
event,2025-07-01,25
online,2025-07-01,305
referral,2025-07-01,71
branch,2025-08-01,147
event,2025-08-01,18
online,2025-08-01,311
referral,2025-08-01,50
branch,2025-09-01,122
event,2025-09-01,13
online,2025-09-01,280
referral,2025-09-01,39
