member_id,age_band,channel_signup,last_txn_dt
M004746,35_44,branch,2025-08-12
M006614,65_plus,online,2025-07-05
M000440,35_44,online,2025-08-02
M000613,35_44,online,2025-08-19
M007425,under_25,online,2025-08-12
M006425,25_34,branch,2025-08-13
M001997,35_44,online,2025-08-06
M000168,55_64,online,2025-08-19
M002206,45_54,branch,2025-07-28
M001829,35_44,online,2025-08-15
M009415,25_34,branch,2025-08-16
M002493,25_34,branch,2025-07-24
M003264,45_54,online,2025-06-02
M000177,35_44,online,2025-08-13
M007164,under_25,online,2025-08-17
M005862,55_64,online,2025-08-17
M000824,35_44,branch,2025-07-02
M001626,45_54,online,2025-07-31
M007335,35_44,online,2025-08-11
M001124,25_34,referral,2025-08-22
M007490,45_54,online,2025-07-19
M008692,35_44,online,2025-08-10
M007838,35_44,referral,2025-08-12
M002145,35_44,online,2025-08-21
M006135,25_34,online,2025-08-10
M008731,35_44,online,2025-08-16
M005051,45_54,online,2025-08-09
M003336,under_25,branch,2025-07-01
M003391,under_25,branch,2025-07-18
M004252,35_44,branch,2025-06-30
M006405,45_54,online,2025-07-23
M009990,25_34,branch,2025-06-02
M006520,35_44,online,2025-06-15
M007967,45_54,branch,2025-08-20
M009859,45_54,branch,2025-04-10
M001531,35_44,branch,2025-08-16
M003081,45_54,online,2025-07-20
M006404,45_54,online,2025-05-25
M007381,45_54,branch,2025-08-24
M002228,25_34,referral,2025-08-11
M003645,25_34,referral,2025-05-08
M006968,35_44,branch,2024-12-11
M001294,45_54,online,2025-08-24
M000381,25_34,branch,2025-08-08
M009434,25_34,branch,2025-08-12
M000475,55_64,online,2025-08-24
M002670,45_54,referral,2025-08-17
M004470,45_54,branch,2025-08-02
M003712,under_25,online,2025-08-18
M005696,45_54,branch,2025-07-19
M000679,45_54,branch,2025-08-24
M009625,25_34,branch,2025-08-24
M002835,35_44,online,2025-07-26
M009500,55_64,branch,2025-08-23
M005619,45_54,online,2025-05-04
M005363,35_44,online,2025-08-19
M002954,55_64,branch,2025-07-27
M008930,35_44,online,2025-08-19
M000037,35_44,online,2025-06-06
M008474,25_34,online,2025-08-23
M007840,35_44,branch,2025-08-09
M001354,45_54,branch,2025-08-13
M007367,55_64,online,2025-08-20
M000256,25_34,online,2025-08-14
M004738,35_44,online,2025-06-22
M008303,25_34,online,2025-08-10
M003335,55_64,online,2025-05-03
M005215,35_44,online,2025-08-07
M006841,25_34,online,2025-06-22
M000970,under_25,online,2025-08-11
M003289,25_34,online,2025-06-25
M000997,55_64,online,2025-06-20
M000123,55_64,branch,2025-08-18
M007279,35_44,online,2025-07-17
M007170,35_44,online,2025-07-15
M000001,45_54,branch,2025-05-27
M001763,35_44,referral,2025-08-18
M001837,25_34,branch,2025-06-26
M008497,45_54,online,2025-08-20
M009002,45_54,branch,2025-08-12
M002309,45_54,online,2025-07-02
M005348,under_25,online,2025-08-06
M003109,45_54,branch,2025-08-15
M004176,45_54,branch,2025-08-03
M001535,25_34,referral,2025-06-19
M005520,under_25,branch,2025-08-17
M006667,25_34,online,2025-08-19
M005359,under_25,referral,2025-01-07
M002141,35_44,branch,2025-08-19
M001869,25_34,online,2025-08-18
M008509,25_34,online,2025-08-21
M000685,25_34,branch,2025-07-22
M002318,25_34,branch,2025-08-12
M006001,25_34,online,2025-07-30
M009798,45_54,online,2025-06-08
M006488,under_25,online,2025-03-19
M006215,25_34,branch,2025-08-14
M008962,35_44,branch,2025-08-10
M003351,25_34,branch,2025-08-04
M002030,25_34,branch,2025-08-14
M004875,25_34,online,2025-06-03
M006843,55_64,branch,2025-07-30
M008521,35_44,event,2025-08-03
M005300,35_44,online,2025-07-21
M002494,55_64,online,2025-04-06
M001880,25_34,event,2025-04-17
M001334,55_64,online,2025-07-24
M004212,25_34,online,2025-08-05
M007338,under_25,branch,2025-08-21
M000876,55_64,branch,2025-05-18
M000253,65_plus,event,2025-06-28
M006142,35_44,branch,2025-08-22
M006452,45_54,online,2025-06-28
M005776,under_25,branch,2025-08-03
M004651,35_44,online,2025-07-10
M003029,25_34,online,2025-07-25
M001031,35_44,online,2025-08-21
M006204,55_64,online,2025-02-27
M003370,35_44,online,2025-04-23
M002255,25_34,online,2025-05-28
M006396,45_54,online,2025-08-22
M002109,35_44,event,2025-03-23
M000769,25_34,online,2025-08-20
M009400,45_54,referral,2025-07-27
M009933,45_54,online,2025-05-30
M006560,55_64,online,2025-06-29
M000145,35_44,referral,2025-06-23
M009965,55_64,online,2025-08-21
M004863,25_34,online,2025-08-06
M003014,under_25,online,2025-07-05
M009409,35_44,online,2025-08-12
M006865,35_44,online,2025-06-25
M005802,35_44,online,2025-07-27
M001337,25_34,branch,2025-08-13
M005640,35_44,online,2025-07-01
M004216,45_54,branch,2025-08-11
M003658,under_25,branch,2025-04-03
M008136,35_44,referral,2025-08-06
M006150,35_44,online,2025-08-04
M005979,35_44,branch,2025-08-21
M003916,35_44,online,2025-07-22
M008891,35_44,referral,2025-08-19
M009462,35_44,branch,2025-07-22
M008694,35_44,online,2025-07-23
M008802,25_34,online,2025-07-22
M002569,45_54,online,2025-08-20
M008159,45_54,online,2025-08-19
M006448,25_34,online,2025-08-10
M002368,under_25,online,2025-06-14
M009440,35_44,branch,2025-07-06
M003594,under_25,online,2025-06-21
M000663,35_44,referral,2025-07-30
M005436,25_34,online,2025-07-04
M003674,45_54,branch,2025-07-19
M002094,25_34,branch,2025-08-13
M004446,25_34,online,2025-08-19
M003136,45_54,online,2025-08-04
M009987,35_44,branch,2025-03-27
M005388,under_25,referral,2025-07-02
M007545,45_54,referral,2025-08-16
M003704,25_34,online,2025-06-06
M001992,45_54,referral,2025-08-22
M008415,25_34,branch,2025-08-17
M000073,35_44,online,2025-07-24
M009853,45_54,online,2025-07-03
