member_id,age,language_pref,zipcode,channel_signup,tenure_months,dep_90d,events_90d,lead_score,next_best_campaign
M004640,18,spanish,67208,referral,4,30116.400000000005,249,530.1164,CAMP_GENZ_CHECKING
M008023,18,english,80226,online,7,61962.72000000006,201,467.46272000000005,CAMP_GENZ_CHECKING
M004195,18,english,80219,online,20,23905.960000000014,212,453.90596,CAMP_GENZ_CHECKING
M006838,19,spanish,67206,online,15,21794.850000000002,207,441.79485,CAMP_GENZ_CHECKING
M004214,18,english,80015,online,19,22819.419999999987,183,394.81942,CAMP_GENZ_CHECKING
M009483,23,english,80211,referral,6,16600.800000000003,184,387.6008,CAMP_GENZ_CHECKING
M008429,19,english,80033,online,4,10390.400000000001,180,372.3904,CAMP_GENZ_CHECKING
M002362,24,english,80207,online,17,8154.81,174,362.15481,CAMP_GENZ_CHECKING
M008114,25,spanish,80016,online,12,22343.860000000008,164,356.34386,CAMP_GENZ_CHECKING
M004034,18,english,80206,branch,15,24158.479999999996,162,354.15848,CAMP_GENZ_CHECKING
M006360,22,english,80222,online,4,14820.209999999994,162,340.82021,CAMP_GENZ_CHECKING
M009516,24,spanish,67203,branch,10,35632.869999999995,148,336.63287,CAMP_GENZ_CHECKING
M008735,21,english,80205,online,15,8891.000000000002,160,334.891,CAMP_GENZ_CHECKING
M009446,19,english,80033,branch,4,44172.4,142,330.1724,CAMP_GENZ_CHECKING
M003065,22,spanish,80112,online,2,33598.92000000001,147,328.59892,CAMP_GENZ_CHECKING
M008186,24,english,80012,online,19,25609.999999999985,148,327.61,CAMP_GENZ_CHECKING
M006417,25,english,80218,online,19,24085.439999999995,148,326.08544,CAMP_GENZ_CHECKING
M007460,24,english,80223,online,13,7675.2,150,313.6752,CAMP_GENZ_CHECKING
M009466,25,spanish,67218,referral,1,31062.480000000007,138,307.56248,CAMP_GENZ_CHECKING
M003250,18,english,80202,online,6,21216.4,136,296.2164,CAMP_GENZ_CHECKING
M005519,25,english,80030,online,1,21959.879999999997,135,292.45988,CAMP_GENZ_CHECKING
M002155,25,english,80223,referral,5,29828.700000000004,130,292.3287,CAMP_GENZ_CHECKING
M000224,21,english,67211,branch,3,21036.96,134,290.53696,CAMP_GENZ_CHECKING
M008037,21,english,67211,branch,8,14243.119999999994,134,286.24312,CAMP_GENZ_CHECKING
M007647,18,english,80112,online,21,7796.320000000002,136,285.79632,CAMP_GENZ_CHECKING
M001316,24,english,67213,referral,16,18687.760000000006,130,284.68776,CAMP_GENZ_CHECKING
M006580,18,spanish,80022,online,8,21677.6,129,283.6776,CAMP_GENZ_CHECKING
M004296,22,spanish,80121,online,15,81868.15,97,281.86815,CAMP_GENZ_CHECKING
M005974,18,english,67208,online,18,21222.48,123,273.22248,CAMP_GENZ_CHECKING
M005047,18,english,80016,branch,14,41741.27999999998,112,271.74127999999996,CAMP_GENZ_CHECKING
M007473,25,spanish,67227,online,4,39453.44999999999,114,269.45345,CAMP_GENZ_CHECKING
M002539,25,english,80205,online,11,4155.12,128,265.65512,CAMP_GENZ_CHECKING
M002139,25,english,67212,branch,2,25476.839999999993,118,262.47684,CAMP_GENZ_CHECKING
M001064,19,english,80123,online,11,7945.839999999998,120,253.44584,CAMP_GENZ_CHECKING
M003750,22,english,80216,online,3,24017.759999999995,112,249.51776,CAMP_GENZ_CHECKING
