member_id,month,txn_count,deposits,withdrawals,payments,transfers_zero,net_amount,channels_used
M005801,2024-12-01,1,314.0,0.0,0.0,0,314.0,1
M009307,2024-05-01,6,3708.65,425.15000000000003,0.0,0,3283.5,2
M002594,2025-04-01,1,0.0,374.86,0.0,0,-374.86,1
M000986,2024-05-01,4,905.9200000000001,726.93,0.0,0,178.99000000000012,2
M005517,2025-04-01,2,2040.63,0.0,0.0,0,2040.63,2
M008349,2024-04-01,1,250.79,0.0,0.0,0,250.79,1
M006240,2025-09-01,1,0.0,676.77,0.0,0,-676.77,1
M006846,2025-07-01,1,0.0,343.66,0.0,0,-343.66,1
M001079,2025-02-01,3,330.94,32.32,0.0,0,1048.22,3
M007390,2025-02-01,1,1768.67,0.0,0.0,0,1768.67,1
M002401,2025-08-01,4,2159.6800000000003,405.21,223.18,0,1531.29,2
M004987,2024-11-01,1,1107.01,0.0,0.0,0,1107.01,1
M009713,2025-04-01,2,3795.0200000000004,0.0,0.0,0,3795.0200000000004,2
M005716,2024-10-01,3,1503.8,0.0,0.0,0,1503.8,2
M009996,2024-10-01,3,1176.1399999999999,0.0,72.04,0,1104.1,2
M007978,2025-05-01,4,2450.35,931.8299999999999,0.0,0,1518.52,2
M007832,2024-03-01,6,1392.41,800.46,151.22,0,-203.32999999999993,4
M008450,2025-09-01,1,659.05,0.0,0.0,0,659.05,1
M008999,2024-06-01,2,0.0,442.56,0.0,0,-1041.98,2
M009733,2024-12-01,1,0.0,0.0,0.0,0,-334.2,1
M004898,2025-01-01,2,2325.45,0.0,0.0,0,2325.45,2
M008670,2025-08-01,7,3202.17,674.05,450.16,0,2629.05,3
M003559,2024-06-01,1,0.0,0.0,523.14,0,-523.14,1
M004575,2025-07-01,1,850.96,0.0,0.0,0,850.96,1
M001897,2025-04-01,2,1641.14,0.0,0.0,0,1494.22,2
M002165,2024-10-01,2,661.34,0.0,0.0,0,196.14000000000004,2
M002849,2025-02-01,4,0.0,290.7,654.13,0,-944.8299999999999,2
M002853,2025-09-01,4,669.98,368.31,163.21,0,-481.8900000000001,3
M000108,2025-07-01,2,1620.86,0.0,0.0,0,1620.86,1
M007237,2025-07-01,1,721.21,0.0,0.0,0,721.21,1
M005952,2024-03-01,2,0.0,25.44,336.68,0,-362.12,2
M001351,2024-03-01,2,2064.6400000000003,0.0,0.0,0,2064.6400000000003,2
M005089,2025-04-01,2,988.5,177.55,0.0,0,810.95,2
M009131,2025-07-01,2,1552.62,96.62,0.0,0,1456.0,1
M003695,2024-08-01,1,0.0,0.0,68.98,0,-68.98,1
M008617,2025-08-01,2,2278.15,0.0,0.0,0,2278.15,1
M004903,2024-01-01,4,2624.2,0.0,0.0,0,2954.85,1
M008412,2025-07-01,2,1320.45,0.0,8.31,0,1312.14,2
