member_id,month,events_count,logins,site_visits,deposit_page_views,abandon_apps,avg_session_sec
M000563,2024-01-01,2,0,2,0,0,832.5
M009358,2024-08-01,1,0,1,0,0,368.0
M004490,2024-07-01,3,0,3,0,0,507.6666666666667
M008216,2024-09-01,1,0,1,0,0,784.0
M008278,2024-03-01,1,0,1,0,0,66.0
M000066,2025-08-01,2,0,1,0,1,450.5
M003129,2024-04-01,1,1,0,0,0,298.0
M002880,2024-01-01,2,1,0,1,0,287.5
M007015,2025-05-01,1,0,1,0,0,160.0
M009499,2024-10-01,1,0,0,0,1,482.0
M005586,2024-02-01,1,0,0,0,1,248.0
M001066,2024-07-01,1,0,1,0,0,262.0
M000143,2024-09-01,3,1,2,0,0,341.3333333333333
M000977,2024-03-01,1,0,1,0,0,403.0
M007853,2024-06-01,2,0,1,0,1,177.5
M001815,2025-07-01,1,0,1,0,0,689.0
M008006,2024-12-01,1,0,1,0,0,171.0
M003365,2025-07-01,1,0,1,0,0,64.0
M002543,2024-05-01,2,0,1,0,1,520.0
M002523,2024-07-01,3,2,1,0,0,742.0
M003280,2025-04-01,1,0,1,0,0,34.0
M004461,2025-04-01,1,0,1,0,0,521.0
M005989,2024-06-01,2,2,0,0,0,662.0
M004100,2024-05-01,2,0,1,1,0,578.5
M005916,2024-07-01,1,0,1,0,0,770.0
M008507,2025-05-01,1,0,0,1,0,644.0
M001321,2024-06-01,1,0,1,0,0,380.0
M002593,2024-11-01,1,0,0,1,0,40.0
M009473,2024-08-01,1,0,1,0,0,429.0
M005924,2024-04-01,1,0,1,0,0,307.0
M005380,2024-12-01,1,1,0,0,0,741.0
M008867,2024-06-01,1,0,1,0,0,775.0
M006788,2025-06-01,1,0,0,0,1,241.0
M003340,2024-06-01,1,0,1,0,0,569.0
M002468,2025-04-01,1,0,1,0,0,72.0
M003118,2024-05-01,1,1,0,0,0,408.0
M000452,2024-12-01,1,0,1,0,0,473.0
M000585,2025-08-01,2,0,2,0,0,242.0
M006548,2025-03-01,1,0,1,0,0,294.0
M001433,2025-03-01,2,1,1,0,0,292.0
M002526,2025-06-01,1,1,0,0,0,800.0
M002837,2024-05-01,1,1,0,0,0,312.0
M004739,2024-07-01,1,0,1,0,0,293.0
M005452,2024-08-01,1,0,1,0,0,530.0
M009682,2025-05-01,1,0,1,0,0,36.0
M007169,2025-08-01,1,0,0,0,1,750.0
M000772,2025-05-01,2,1,0,0,1,401.0
M009443,2024-02-01,1,0,0,0,1,886.0
M004359,2024-03-01,1,0,0,1,0,590.0
M005963,2025-02-01,1,0,1,0,0,523.0
M006345,2024-07-01,1,0,1,0,0,388.0
M005256,2024-10-01,3,0,3,0,0,763.0
M002813,2024-12-01,1,1,0,0,0,63.0
M000086,2024-09-01,2,0,1,1,0,882.0
M006916,2024-08-01,1,0,1,0,0,641.0
M002352,2025-06-01,1,1,0,0,0,299.0
M004457,2025-09-01,1,1,0,0,0,143.0
M009264,2024-06-01,1,0,1,0,0,705.0
M008329,2025-08-01,1,1,0,0,0,181.0
M005517,2025-01-01,1,0,0,1,0,559.0
M004446,2025-02-01,1,0,1,0,0,377.0
M003465,2024-06-01,1,1,0,0,0,778.0
M004952,2024-02-01,1,0,1,0,0,435.0
M006785,2024-06-01,1,1,0,0,0,432.0
M000370,2024-07-01,1,0,0,1,0,590.0
M007913,2024-05-01,1,0,0,1,0,52.0
M005159,2024-06-01,2,1,1,0,0,519.5
M007794,2024-09-01,1,0,1,0,0,37.0
M000068,2024-11-01,1,0,0,0,1,271.0
M001607,2024-05-01,1,0,1,0,0,507.0
M004466,2024-10-01,1,0,0,0,1,551.0
M009534,2025-04-01,1,1,0,0,0,625.0
M006556,2024-12-01,1,0,1,0,0,611.0
M005276,2024-06-01,1,0,1,0,0,174.0
M008565,2024-10-01,3,0,1,1,1,725.6666666666666
M001357,2024-06-01,1,0,0,1,0,222.0
M001977,2024-11-01,1,0,1,0,0,440.0
M003738,2025-05-01,1,0,1,0,0,845.0
M004485,2025-04-01,2,1,1,0,0,617.5
M001616,2024-04-01,1,1,0,0,0,128.0
M002748,2025-03-01,1,1,0,0,0,857.0
M006438,2025-08-01,1,1,0,0,0,574.0
M008603,2025-07-01,2,1,1,0,0,481.5
M009519,2024-09-01,1,0,1,0,0,534.0
M008326,2024-05-01,1,0,0,1,0,188.0
M001392,2025-09-01,1,0,1,0,0,468.0
M003259,2024-01-01,2,1,1,0,0,408.0
M004896,2025-02-01,1,0,0,1,0,244.0
M007475,2024-09-01,1,1,0,0,0,628.0
M003031,2025-01-01,1,1,0,0,0,643.0
M008570,2024-06-01,2,1,1,0,0,381.5
M008542,2025-04-01,2,1,1,0,0,630.5
M002116,2025-06-01,1,0,1,0,0,603.0
M007526,2025-05-01,1,0,0,1,0,684.0
M006543,2025-08-01,2,0,1,0,1,745.5
M007400,2024-12-01,3,0,2,0,1,202.0
M008456,2024-06-01,1,0,1,0,0,503.0
